Term;CNNFP;ECFP
Fluorescent Dyes;0.791444744339;0.927632114474
Insecticides;0.768683776541;0.951059762748
Indicators and Reagents;0.665642775029;0.814031339031
Coloring Agents;0.800588439183;0.945185730283
Affinity Labels;0.785666666667;0.86016025641
Fungicides, Industrial;0.751582417582;0.843269230769
Sweetening Agents;0.947418150826;0.9953065303
Oxidants;0.938317757009;0.949065420561
Carcinogens;0.800677956912;0.900369794679
Detergents;0.91161492674;0.976994734432
Cross-Linking Reagents;0.756775700935;0.83584464821
Reducing Agents;0.930841121495;0.971962616822
Mutagens;0.734995408632;0.806146155432
Herbicides;0.896652002385;0.956224172837
Chromogenic Compounds;0.820093457944;0.851869158879
Surface-Active Agents;0.947336320637;0.975473300971
