Term;FP-comb
Reducing Agents;0.8966165579262917;0.9640186915887851
Sweetening Agents;0.9510896079468643;0.9946540880503145
Insecticides;0.7761494818313001;0.9506508498716292
Surface-Active Agents;0.9260122603933283;0.9817681105302464
Affinity Labels;0.8667934981684983;0.9499693223443224
Herbicides;0.8381890998973847;0.9584349952852428
Fluorescent Dyes;0.8735212497054603;0.9563365143628302
Oxidants;0.8782710280373832;0.9425233644859814
Fungicides, Industrial;0.7889423076923077;0.8834615384615386
Cross-Linking Reagents;0.7256472991241991;0.8600819961206136
Indicators and Reagents;0.7465051517683097;0.8535419210419211
Mutagens;0.6790174940499616;0.8361160772849084
Chromogenic Compounds;0.7271028037383178;0.8978971962616823
Detergents;0.933301968864469;0.9643223443223443
Carcinogens;0.7747074416811259;0.8841286810776943
Coloring Agents;0.8813137364688316;0.9441401109155869
